company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,total_filed,wilson_lower,wilson_upper,point_rate,uncertainty_width,recommendation,Y,Y_hat,group
A10 NETWORKS INC,Telecommunications,a10networks.com,SAN JOSE,CA,95134,(408) 325-8668,2013.0,12.0,"Greg J. Straughn, Lee Y. Chen, Neil Wu Becker, Rajkumar J. Jalan, Robert Y. Cochran","Alan S. Henricks, Peter Y. Chung, Phillip J. Salsbury",1505415.0,1505415.0,Pre-Seed,2016-06-23,106.0,4.0,96.36363636363636,140342.75,"['Solutions Architect', 'Staff Software Engineer', 'Senior Software Engineer', 'Sr. Manager, Technical Support', 'Principal QA Software Engineer', 'Software Engineer ']",110.0,0.9102118658040408,0.9857699194133138,0.9636363636363636,0.075558053609273,PRIORITIZE,1,1,ESTABLISHED
ABBVIE INC,Pharmaceuticals,abbvie.com,North Chicago,IL,60064-6400,(847) 932-7900,2012.0,13.0,"Azita J. Saleki-Gerhardt, Henry E. Gosebruch, Michael E. Severino, Thomas A. Hurwich, Timothy J. Richmond","Edward M. Liddy, Frederick H. Waddell, Glenn F. Tilton, Robert J. Alpern, Roxanne S. Austin",3800000000.0,3800000000.0,Series D+,2016-04-25,1090.0,18.0,98.37545126353793,125000.0,"['SENIOR SCIENTIST I', 'ASSOCIATE DIRECTOR, INNOVATION', 'Service Operations Manager', 'Senior Statistician', 'SENIOR SCIENTIST I, CHEMISTRY', 'Technology Architect II - PEGA Platform', 'Sr. Engineer, Technology II', 'Scientific Associate III', 'Senior Scientist II, Engineering', 'Postdoctoral Fellow']",1108.0,0.9744664473634264,0.9896996712635434,0.983754512635379,0.0152332239001169,PRIORITIZE,1,1,ESTABLISHED
ACADEMIA INC,Other Technology,academia.com,SAN FRANCISCO,CA,94108,(415) 829-2341,2011.0,14.0,Richard Price,"Anthony Duffy, Ben Ling, Bijan Sibet",11017508.0,11017508.0,Series A,2013-08-09,10.0,0.0,100.0,155000.0,['Software Engineer'],10.0,0.7224598312333834,1.0,1.0,0.2775401687666166,PRIORITIZE,1,1,ESTABLISHED
ACORNS GROW INC,Other Technology,acornsgrow.com,NEWPORT BEACH,CA,92660,(949) 251-0095,2012.0,13.0,"Debbie Markowitz, Hugh Tamassia, Jeff Cruttenden, Jeff Sippel, Manning Field, Mark Dru, Noah Kerner, Walter Cruttenden","Adam Nash, Gabrielle Sulzberger, James Caccavo, Jay Fishman, Jim Caccavo, Mathias Schilling, Mike Sekits, Patrick Carey, Walter Cruttenden",336882685.0,250172685.0,Series D+,2019-01-25,42.0,0.0,100.0,225000.0,"['Sr. Software Engineer', 'Senior Site Reliability Engineer', 'Sr. Product Manager']",42.0,0.9161983874908382,1.0,1.0,0.0838016125091618,PRIORITIZE,1,1,ESTABLISHED
ACTA PHARMACEUTICALS INC,Pharmaceuticals,actapharmaceuticals.com,BOSTON,MA,2115,(857) 930-2282,2022.0,3.0,"George Alex, Rudolph Tanzi","Rudolph Tanzi, Thierry Porte",17500000.0,17500000.0,Series A,2023-03-29,20.0,2.0,90.9090909090909,100000.0,"['Senior Quality Control Analyst', 'Manager, Business Development and Portfolio (Chemist)']",22.0,0.7218461934161421,0.9747051037171622,0.9090909090909092,0.2528589103010201,PRIORITIZE,1,1,YOUNG
ACTIONIQ INC,Other Technology,actioniq.com,NEW YORK,NY,10010,(000) 000-0000,2014.0,11.0,"ANASTASIOS ARGYROS, NITAY JOFFE","CARL SPARKS, DOUGLAS LEONE, MARTIN CASADO, MEREDITH FINN, WES NICHOLS",92540942.0,60186047.0,Series C,2021-03-08,16.0,0.0,100.0,132937.5,"['Software Engineer', 'Software Engineer ']",16.0,0.8063865817272802,1.0,1.0,0.1936134182727198,PRIORITIZE,1,1,ESTABLISHED
ACV AUCTIONS INC,Other Technology,acvauctions.com,BUFFALO,NY,14203,(585) 317-0406,2014.0,11.0,"Daniel K. Magnuszewski, Daniel K. Manguszewski, George S. Chamoun, John Louis Greco, Joseph S. Neiman","Brian S. Hirsch, Jordan S. Levy, Robert S. Goodman, Ronald M. Schreiber",134999999.0,99999999.0,Series C,2018-12-06,22.0,0.0,100.0,67205.0,['Machine Learning Engineer III'],22.0,0.8513404742740388,1.0,1.0,0.1486595257259612,PRIORITIZE,1,1,ESTABLISHED
ADAPTIVE BIOTECHNOLOGIES CORP,Biotechnology,adaptivebiotechnologies.com,SEATTLE,WA,98102,(206) 659-0067,2009.0,16.0,"Chad Robins, Chris Carlson, Dean Schorno, Harlan Robins, Kathleen Determann","Andris Zoltners, Arnold Levine, John Stuelpnagel, Lee Huntsman, Peter Neupert, Rob Hershberg, Rob Rosen, Tom Willis",397815878.0,195099954.0,Series D+,2015-05-05,12.0,0.0,100.0,81120.0,"['Regulatory Affairs Associate', 'Research Scientist', 'Packaging Engineer']",12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
AEYE INC,Other,aeye.com,PLEASANTON,CA,94588,(925) 400-4366,2013.0,12.0,"Andrew S. Hughes, Blair C. LaCorte, Conor B. Tierney, Luis C. Dussan, Matthew Fisch, Ransom P. Wuller","Bernd B. Gottschalk, Huang C. Lee, Jonathon B. Husby, Luis B. Dussan, Sue E. Zeifman, Timothy J. Dunn, Wen C. Hsieh",178472327.0,3240000.0,Seed,2025-01-03,20.0,0.0,100.0,135000.0,['Sr. Perception Software Engineer'],20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,ESTABLISHED
AGENT TECHNOLOGIES INC,Other Technology,agenttechnologies.com,BROOKLYN,NY,11238,(414) 899-2839,2022.0,3.0,"Aunim Mashrur Hossain, Jagmeet Mashrur Anand, Nathan Mashrur Villagaray-Carski",,4679999.0,4679999.0,Seed,2022-03-02,216.0,4.0,98.1818181818182,135000.0,"['Software Architect', 'Field Applications Scientist, Genomics Automation', 'Application Scientist', 'Sr. Software Development Engineer', 'Machine Learning Engineer']",220.0,0.954190892145692,0.9929074130844348,0.9818181818181818,0.0387165209387427,PRIORITIZE,1,1,YOUNG
